Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
774,4.71E+13,3,3,2,2,0,0,0,0,0,23,7,341,6,335,0,0,0,1,0,44,18,4,12,2,9,0,0,5,0,9,12,0,1895,6,51,19,7,2,2,3,1,2
277,4.80E+13,1,1,9,9,0,0,0,0,0,66,3,116,11,724,1,0,0,3,1,63,19,11,41,5,19,15,0,6,0,6,15,1,1495,5,45,13,5,2,2,6,5,1
48,4.80E+13,1,1,1,1,0,0,0,0,0,10,9,357,3,172,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,9,0,2105,9,50,20,5,2,0,1,0,0
51,5.10E+13,3,2,4,4,0,0,0,0,0,34,4,151,7,406,0,1,0,4,1,40,34,7,30,3,23,4,2,4,0,11,11,2,1954,6,50,17,6,3,0,5,3,1
86,5.10E+13,2,0,3,3,0,0,0,0,0,21,5,221,3,202,1,0,1,2,2,44,34,7,32,2,16,1,3,7,0,7,11,0,1646,10,81,15,4,3,1,3,3,0
51,5.10E+13,1,0,2,1,0,0,0,0,0,13,7,282,4,209,0,0,0,4,4,50,38,4,17,1,5,0,2,6,0,2,12,1,1539,9,103,12,2,1,0,2,0,0
327,5.10E+13,5,3,6,6,0,0,0,0,0,51,4,173,10,613,1,0,0,3,1,41,26,13,66,5,49,0,4,2,0,12,10,1,2061,8,80,17,5,2,1,7,3,3
51,5.10E+13,1,1,1,1,0,0,0,0,0,10,7,267,3,197,0,0,0,2,1,50,34,5,23,4,22,2,0,5,0,3,6,1,1569,5,35,14,2,2,0,2,0,1
328,5.10E+13,3,3,7,7,0,0,0,0,0,58,7,228,11,721,4,1,0,0,0,29,32,5,17,1,7,1,1,6,0,14,11,1,2031,2,25,18,6,2,2,7,4,3
51,5.11E+13,1,0,3,3,0,0,0,0,0,21,5,191,4,243,0,0,0,2,0,41,28,5,12,0,0,0,0,1,0,5,12,3,1825,8,49,13,6,1,0,2,0,0
522,5.11E+13,1,1,7,7,0,0,0,0,0,52,2,79,9,605,4,0,0,1,0,38,26,7,24,1,10,5,2,3,0,7,14,3,1775,6,45,11,5,2,1,4,2,1
51,5.11E+13,1,1,1,1,0,0,0,0,0,10,8,322,3,178,0,0,0,1,1,51,68,8,17,0,0,0,0,3,0,1,6,0,1002,5,54,13,3,1,0,1,1,0
697,5.11E+13,5,2,4,4,0,0,0,0,0,34,3,145,7,452,4,0,0,2,0,18,24,2,7,0,0,0,1,4,0,24,5,2,2598,6,40,19,11,0,0,7,3,2
51,5.11E+13,2,0,0,0,0,0,0,0,0,0,9,332,1,39,0,0,0,3,0,55,24,2,15,2,15,0,2,2,0,4,12,0,1672,5,45,20,7,1,1,2,0,0
698,5.11E+13,3,2,3,3,0,0,0,0,0,27,7,310,6,346,1,1,0,4,2,43,30,5,19,1,11,0,1,6,0,6,10,0,1928,8,55,15,3,2,1,8,3,2
